R9PLT  LON,LAT,size  -57.89565324783325 -34.96598482131958 1500
456.863099 456.00185828061274 526 100.10396841246755 258.89821581617696
456.863599 456.0023582806128 670 100.24796841246756 259.04221581617696
456.864474 456.00323328061273 640 100.21796841246756 259.01221581617693
457.305974 456.44473328061275 -542 99.03596841246755 257.830215816177
457.306058 456.44481728061277 -640 98.93796841246755 257.73221581617696
457.306141 456.4449002806128 -768 98.80996841246755 257.604215816177
457.306183 456.44494228061274 -896 98.68196841246755 257.47621581617693
457.306266 456.44502528061275 -1024 98.55396841246755 257.34821581617695
457.306349 456.44510828061277 -1280 98.29796841246755 257.092215816177
457.306433 456.4451922806128 -1536 98.04196841246755 256.83621581617695
457.306516 456.44527528061275 -1792 97.78596841246755 256.580215816177
457.306599 456.44535828061277 -2048 97.52996841246755 256.32421581617695
457.306766 456.44552528061274 -2560 97.01796841246755 255.81221581617694
457.306891 456.44565028061277 -3072 96.50596841246755 255.30021581617694
457.307016 456.44577528061274 -3584 95.99396841246755 254.78821581617694
457.307141 456.44590028061276 -4096 95.48196841246755 254.27621581617694
457.307391 456.44615028061276 -5120 94.45796841246755 253.25221581617694
457.307641 456.44640028061275 -6144 93.43396841246755 252.22821581617694
457.307933 456.44669228061275 -7168 92.40996841246755 251.20421581617694
457.308516 456.44727528061276 -8192 91.38596841246755 250.18021581617694
457.309933 456.44869228061276 -12288 87.28996841246756 246.08421581617694
457.311391 456.4501502806128 -10195 89.38296841246756 248.17721581617695
457.312266 456.4510252806128 -8192 91.38596841246755 250.18021581617694
457.321183 456.4599422806128 -6144 93.43396841246755 252.22821581617694
457.321808 456.46056728061274 -5120 94.45796841246755 253.25221581617694
457.322433 456.46119228061275 -4096 95.48196841246755 254.27621581617694
457.323891 456.46265028061276 -3072 96.50596841246755 255.30021581617694
457.329308 456.4680672806128 -2560 97.01796841246755 255.81221581617694
457.330474 456.46923328061274 -1552 98.02596841246755 256.8202158161769
457.332349 456.4711082806128 -1992 97.58596841246755 256.38021581617693
457.334933 456.47369228061274 -1536 98.04196841246755 256.83621581617695
457.335516 456.47427528061274 -1280 98.29796841246755 257.092215816177
457.336016 456.47477528061273 -1024 98.55396841246755 257.34821581617695
457.336266 456.4750252806128 -768 98.80996841246755 257.604215816177
457.336516 456.4752752806128 -640 98.93796841246755 257.73221581617696
457.336766 456.47552528061277 -512 99.06596841246756 257.86021581617695
457.336974 456.47573328061276 -384 99.19396841246756 257.98821581617693
457.337058 456.4758172806128 -320 99.25796841246756 258.05221581617695
457.337183 456.47594228061274 -256 99.32196841246756 258.116215816177
457.337266 456.47602528061276 -192 99.38596841246756 258.18021581617694
457.338141 456.47690028061277 658 100.23596841246756 259.03021581617696
457.338266 456.47702528061274 768 100.34596841246756 259.1402158161769
457.338349 456.47710828061275 896 100.47396841246756 259.26821581617696
457.338474 456.4772332806128 1024 100.60196841246756 259.39621581617695
457.338683 456.47744228061276 1280 100.85796841246756 259.6522158161769
457.338933 456.47769228061276 1536 101.11396841246756 259.90821581617695
457.339224 456.47798328061276 1792 101.36996841246756 260.1642158161769
457.341433 456.48019228061275 2048 101.62596841246756 260.42021581617695
457.342391 456.4811502806128 2560 102.13796841246756 260.93221581617695
457.342933 456.4816922806128 3072 102.64996841246756 261.44421581617695
457.343349 456.48210828061275 3584 103.16196841246756 261.95621581617695
457.344141 456.48290028061274 4096 103.67396841246756 262.46821581617695
457.348099 456.48685828061275 5120 104.69796841246756 263.49221581617695
457.350558 456.48931728061274 6144 105.72196841246756 264.51621581617695
457.352516 456.49127528061274 7216 106.79396841246755 265.58821581617696
457.352683 456.4914422806128 7088 106.66596841246755 265.46021581617697
457.353141 456.49190028061275 7227 106.80496841246756 265.5992158161769
457.353933 456.49269228061274 8192 107.76996841246756 266.56421581617695
457.358516 456.49727528061277 12000 111.57796841246756 270.37221581617695
457.362391 456.50115028061276 10240 109.81796841246755 268.61221581617696
457.362808 456.50156728061273 8192 107.76996841246756 266.56421581617695
457.363308 456.5020672806128 7168 106.74596841246756 265.54021581617695
457.363933 456.50269228061273 6144 105.72196841246756 264.51621581617695
457.364891 456.50365028061276 5120 104.69796841246756 263.49221581617695
457.365266 456.5040252806128 4096 103.67396841246756 262.46821581617695
457.365599 456.50435828061273 3584 103.16196841246756 261.95621581617695
457.365891 456.50465028061274 3072 102.64996841246756 261.44421581617695
457.366224 456.50498328061275 2560 102.13796841246756 260.93221581617695
457.366391 456.5051502806128 2048 101.62596841246756 260.42021581617695
457.366558 456.50531728061276 1792 101.36996841246756 260.1642158161769
457.366724 456.50548328061274 1536 101.11396841246756 259.90821581617695
457.366849 456.50560828061276 1280 100.85796841246756 259.6522158161769
457.366933 456.5056922806128 1024 100.60196841246756 259.39621581617695
457.367016 456.50577528061274 896 100.47396841246756 259.26821581617696
457.367099 456.50585828061276 744 100.32196841246756 259.116215816177
457.369933 456.50869228061276 661 100.23896841246756 259.03321581617695
457.370058 456.50881728061273 768 100.34596841246756 259.1402158161769
457.370183 456.50894228061276 896 100.47396841246756 259.26821581617696
457.370349 456.50910828061274 1024 100.60196841246756 259.39621581617695
457.370599 456.5093582806128 1280 100.85796841246756 259.6522158161769
457.370849 456.5096082806128 1536 101.11396841246756 259.90821581617695
457.371141 456.5099002806128 1792 101.36996841246756 260.1642158161769
